iter	RMSE
0	20568.67194
1	18658.41199
2	16964.63912
3	15441.185
4	14090.16052
5	12878.77031
6	11812.41306
7	10867.10972
8	10029.87192
9	9290.936878
10	8649.362006
11	8082.030943
12	7583.921619
13	7166.243751
14	6799.156255
15	6484.244363
16	6212.484445
17	5983.869707
18	5789.351985
19	5623.212423
20	5481.258225
21	5361.082582
22	5259.403776
23	5177.972244
24	5102.489561
25	5041.01427
26	4989.90069
27	4947.531201
28	4911.826779
29	4878.812917
30	4842.005045
31	4814.208039
32	4791.902258
33	4769.882296
34	4753.368759
35	4738.463857
36	4720.253059
37	4707.503825
38	4691.528218
39	4679.417935
40	4671.010556
41	4656.747225
42	4649.941105
43	4641.924
44	4636.258339
45	4626.921473
46	4621.489533
47	4614.735323
48	4609.833663
49	4603.87728
50	4598.727793
51	4595.648719
52	4588.207952
53	4584.792503
54	4581.613875
55	4577.624866
56	4572.62042
57	4568.235695
58	4564.097985
59	4561.196016
60	4558.14584
61	4554.033686
62	4548.03279
63	4545.978248
64	4542.868318
65	4537.573813
66	4534.090587
67	4531.30887
68	4526.030341
69	4515.567938
70	4512.949201
71	4508.545777
72	4500.586534
73	4498.881686
74	4492.676587
75	4487.638902
76	4481.975362
77	4479.729813
78	4477.547973
79	4474.584646
80	4473.778922
81	4468.889258
82	4465.474742
83	4457.304712
84	4450.288351
85	4446.461928
86	4444.351617
87	4439.863205
88	4436.910046
89	4431.611311
90	4428.529359
91	4426.765602
92	4425.384583
93	4424.052155
94	4421.458051
95	4414.135732
96	4412.13401
97	4410.320704
98	4402.707473
99	4396.906208
100	4395.837595
101	4387.83765
102	4386.807266
103	4385.659775
104	4383.143667
105	4382.00216
106	4379.040457
107	4376.628863
108	4370.195756
109	4366.698109
110	4365.068869
111	4363.23238
112	4360.43947
113	4356.323509
114	4354.367299
115	4351.62549
116	4349.469767
117	4348.196634
118	4343.170755
119	4340.983791
120	4335.767341
121	4330.085453
122	4328.77779
123	4325.38821
124	4323.166507
125	4321.220567
126	4316.910009
127	4313.681305
128	4312.883445
129	4309.867391
130	4307.39999
131	4306.349756
132	4302.370772
133	4302.01015
134	4297.231584
135	4294.505227
136	4293.134819
137	4291.225049
138	4290.618559
139	4287.7703
140	4283.180692
141	4280.210775
142	4278.445332
143	4274.052998
144	4273.427242
145	4270.833494
146	4269.605918
147	4267.217517
148	4266.332162
149	4263.925091
150	4262.751868
151	4261.094098
152	4258.516075
153	4256.838228
154	4253.910186
155	4251.448815
156	4246.470832
157	4245.460081
158	4244.943795
159	4242.450913
160	4238.003318
161	4235.669608
162	4233.18485
163	4232.37125
164	4231.060469
165	4230.622417
166	4227.877854
167	4226.183655
168	4222.678138
169	4221.806479
170	4218.712151
171	4216.033969
172	4214.241108
173	4212.055531
174	4209.573062
175	4205.307584
176	4202.359337
177	4199.900183
178	4199.25767
179	4198.482125
180	4195.396181
181	4194.042721
182	4192.30968
183	4191.035689
184	4190.461107
185	4188.873465
186	4182.343678
187	4181.267447
188	4178.913157
189	4177.168546
190	4174.965895
191	4173.748311
192	4170.871597
193	4168.638561
194	4167.60115
195	4165.515231
196	4160.577562
197	4160.120336
198	4158.575742
199	4155.329436
