iter	Passed	Remaining
0	272	54142
1	410	40680
2	574	37723
3	721	35343
4	873	34083
5	1021	33026
6	1176	32448
7	1307	31376
8	1476	31336
9	1639	31159
10	1777	30536
11	1929	30233
12	2089	30051
13	2236	29713
14	2375	29294
15	2519	28979
16	2674	28788
17	2851	28829
18	2999	28570
19	3148	28336
20	3292	28068
21	3457	27978
22	3589	27620
23	3731	27362
24	3872	27110
25	4019	26901
26	4150	26596
27	4296	26395
28	4437	26165
29	4601	26077
30	4753	25916
31	4888	25666
32	5052	25566
33	5200	25392
34	5314	25054
35	5455	24851
36	5675	25003
37	5825	24833
38	5983	24699
39	6140	24561
40	6286	24379
41	6427	24181
42	6568	23982
43	6736	23884
44	6887	23723
45	7044	23584
46	7192	23412
47	7343	23255
48	7486	23071
49	7638	22915
50	7788	22753
51	7931	22575
52	8071	22386
53	8233	22259
54	8377	22087
55	8514	21894
56	8671	21754
57	8835	21632
58	8976	21452
59	9118	21276
60	9272	21129
61	9419	20965
62	9544	20755
63	9698	20608
64	9837	20431
65	9978	20259
66	10125	20099
67	10287	19969
68	10403	19750
69	10528	19552
70	10664	19376
71	10802	19204
72	10941	19034
73	11066	18842
74	11194	18658
75	11317	18465
76	11461	18308
77	11572	18101
78	11715	17944
79	11848	17772
80	11966	17579
81	12112	17429
82	12366	17432
83	12590	17386
84	12787	17300
85	12946	17161
86	13191	17133
87	13462	17133
88	13717	17108
89	14004	17116
90	14209	17019
91	14510	17034
92	14758	16979
93	14957	16866
94	15202	16802
95	15463	16751
96	15707	16679
97	15888	16537
98	16082	16407
99	16304	16304
100	16552	16224
101	16691	16036
102	16878	15895
103	17131	15813
104	17338	15687
105	17459	15482
106	17769	15444
107	18092	15411
108	18364	15331
109	18698	15299
110	18914	15165
111	19082	14993
112	19356	14902
113	19587	14776
114	19830	14657
115	20079	14540
116	20278	14385
117	20448	14210
118	20678	14075
119	20873	13915
120	21076	13760
121	21383	13671
122	21519	13471
123	21674	13284
124	21831	13098
125	22020	12932
126	22167	12741
127	22345	12569
128	22487	12376
129	22630	12185
130	22789	12003
131	22942	11818
132	23100	11636
133	23284	11468
134	23434	11283
135	23620	11115
136	23765	10928
137	23910	10742
138	24073	10564
139	24223	10381
140	24397	10208
141	24551	10028
142	24748	9864
143	24909	9687
144	25059	9505
145	25202	9321
146	25330	9132
147	25499	8959
148	25637	8775
149	25794	8598
150	25968	8426
151	26114	8246
152	26271	8070
153	26419	7891
154	26577	7716
155	26711	7533
156	26877	7361
157	27013	7180
158	27137	6997
159	27302	6825
160	27451	6649
161	27604	6475
162	27757	6300
163	27917	6128
164	28067	5953
165	28206	5777
166	28343	5600
167	28512	5430
168	28672	5259
169	28821	5086
170	28982	4915
171	29133	4742
172	29302	4573
173	29454	4401
174	29620	4231
175	29782	4061
176	29997	3897
177	30149	3726
178	30282	3552
179	30465	3385
180	30633	3215
181	30792	3045
182	31064	2885
183	31237	2716
184	31486	2552
185	31793	2393
186	32029	2226
187	32223	2056
188	32587	1896
189	33107	1742
190	33560	1581
191	33851	1410
192	34109	1237
193	34386	1063
194	34638	888
195	34927	712
196	35305	537
197	35597	359
198	35972	180
199	36356	0
